virus,evidence,P,paths,residuals,VirusClass,VirusOrder,VirusFamily,VirusGenus
Erbovirus A,70.41588574386354,1.0,63,0.1079632859431694,Pisoniviricetes,Picornavirales,Picornaviridae,Erbovirus
Equine foamy virus,70.41588574386361,1.0,63,0.10796328594316851,Revtraviricetes,Ortervirales,Retroviridae,Equispumavirus
Dyoiotapapillomavirus 1,70.41588574386364,1.0,63,0.10796328594316762,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Dyoiotapapillomavirus
Dyorhopapillomavirus 1,70.41588574386367,1.0,63,0.10796328594316762,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Dyorhopapillomavirus
Peruvian horse sickness virus,70.4158857438637,1.0,63,0.10796328594316673,Resentoviricetes,Reovirales,Reoviridae,Orbivirus
Equid alphaherpesvirus 3,70.41588574386381,1.0,63,0.10796328594316495,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus
Zetapapillomavirus 1,70.41588574386387,1.0,63,0.10796328594316407,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Zetapapillomavirus
Capim orthobunyavirus,70.51582668312204,1.0,63,0.10661808702536657,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus
San Perlita virus,34.09743703597039,0.9999999999999984,31,0.08664010709187187,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus
Sal Vieja virus,34.097437035970515,0.9999999999999984,31,0.08664010709186831,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus
Enterovirus J,138.73508054756473,1.0,117,0.0838028428837525,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus
Itaporanga phlebovirus,17.74009303227564,0.9999999802496189,16,0.044964532645971556,Ellioviricetes,Bunyavirales,Phenuiviridae,Phlebovirus
Jurona vesiculovirus,17.740093032275784,0.9999999802496189,16,0.044964532645964006,Monjiviricetes,Mononegavirales,Rhabdoviridae,Vesiculovirus
Canine mastadenovirus A,275.6808326470782,1.0,212,0.02692488716269903,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus
Mamastrovirus 17,23.30032432525196,0.9999999999240028,20,0.009518272181240572,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus
Rabbit hemorrhagic disease virus,62.02439735353685,1.0,50,-0.0027965721827087897,Pisoniviricetes,Picornavirales,Caliciviridae,Lagovirus
Cocal vesiculovirus,95.56983677688693,1.0,75,-0.00738121787890389,Monjiviricetes,Mononegavirales,Rhabdoviridae,Vesiculovirus
Cabassou virus,104.105513373063,1.0,80,-0.023981759146941783,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus
Murid gammaherpesvirus 4,146.263403609389,1.0,110,-0.028010428013013566,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus
Chiropteran dependoparvovirus 1,48.30032211699498,1.0,38,-0.040031964040105006,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus
Latino mammarenavirus,36.46954391041104,0.9999999999999998,28,-0.07893192782741698,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus
Oliveros mammarenavirus,74.83849408925067,1.0,55,-0.08561262809882564,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus
Torque teno virus 2,182.42105661644968,1.0,110,-0.23753450622721228,,,Anelloviridae,Alphatorquevirus
Mink enteric sapovirus,12.454512382900536,0.9999960999308842,8,-0.3126682979182167,Pisoniviricetes,Picornavirales,Caliciviridae,Sapovirus
Mink calicivirus,12.4545123829006,0.9999960999308842,8,-0.31266829791822115,Pisoniviricetes,Picornavirales,Caliciviridae,Vesivirus
Cricetid gammaherpesvirus 2,14.270855828453582,0.9999993657714527,9,-0.32400600755865083,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus
Ground squirrel hepatitis virus,12.747897945621864,0.9999970915807982,8,-0.33475180366190305,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus
Mamastrovirus 10,22.849695291438152,0.9999999998807376,13,-0.40274158015711237,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus
Rhinolophus bat coronavirus HKU2,22.860291510242835,0.9999999998819946,13,-0.40318131569807036,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus
Yogue virus,12.218770144761438,0.9999950631105035,7,-0.4280747986270923,Ellioviricetes,Bunyavirales,Nairoviridae,Orthonairovirus
Psipapillomavirus 1,12.218770144761443,0.9999950631105035,7,-0.42807479862709275,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Psipapillomavirus
