virus,evidence,P,paths,residuals,VirusClass,VirusOrder,VirusFamily,VirusGenus
Eubenangee virus,11.22275503413682,0.9999866336259035,3,-1.1947247046095602,Resentoviricetes,Reovirales,Reoviridae,Orbivirus
Keuraliba ledantevirus,3.532697109019434,0.971603919580327,1,-1.1970224820953663,Monjiviricetes,Mononegavirales,Rhabdoviridae,Ledantevirus
Taterapox virus,3.5326971090195523,0.9716039195803303,1,-1.197022482095398,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus
Macropodid alphaherpesvirus 2,43.42886878681975,1.0,10,-1.2741979829716432,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus
Murine mastadenovirus C,48.10497912410696,1.0,11,-1.2758791529974545,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus
Mustelid gammaherpesvirus 1,34.59687430934367,0.9999999999999991,8,-1.2816973118009227,Herviviricetes,Herpesvirales,Herpesviridae,Percavirus
Phacochoerus africanus cytomegalovirus 1,8.076197255430605,0.9996892457210768,2,-1.288123373201358,Herviviricetes,Herpesvirales,Herpesviridae,Cytomegalovirus
Suiformes rhadinovirus genogroup 1,8.076197255430623,0.9996892457210768,2,-1.2881233732013597,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus
Lloviu cuevavirus,35.16610472501493,0.9999999999999996,8,-1.2971756544691448,Monjiviricetes,Mononegavirales,Filoviridae,Cuevavirus
Yokose virus,35.166104725015025,0.9999999999999996,8,-1.297175654469147,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus
Mischivirus A,35.16610472501503,0.9999999999999996,8,-1.297175654469147,Pisoniviricetes,Picornavirales,Picornaviridae,Mischivirus
West Caucasian bat lyssavirus,35.16610472501507,0.9999999999999996,8,-1.297175654469148,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus
Serra do Navio mammarenavirus,114.34883901743856,1.0,24,-1.3169669839063158,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus
Murid herpesvirus 5,26.734865345762035,0.9999999999975497,6,-1.3248697871418122,Herviviricetes,Herpesvirales,Herpesviridae,
Miniopterus bat coronavirus 1,36.43290179313832,0.9999999999999998,8,-1.3307414631954768,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus
Paraguayan mammarenavirus,18.125508790424607,0.9999999865664269,4,-1.361715254944632,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus
Nariva narmovirus,42.696713522065615,1.0,9,-1.3634322549060398,Monjiviricetes,Mononegavirales,Paramyxoviridae,Narmovirus
Torque teno tamarin virus,13.877765908204424,0.9999990603579648,3,-1.3961262963004561,,,Anelloviridae,Epsilontorquevirus
Phocid alphaherpesvirus 1,191.46527304731848,1.0,36,-1.4003911929465032,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus
Cano Delgadito orthohantavirus,52.15769389548102,1.0,10,-1.4479069652250547,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus
Sigmapapillomavirus 1,20.639148258045655,0.9999999989122432,4,-1.484891960011305,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Sigmapapillomavirus
