sp,step,count,score,phylodist
Artibeus jamaicensis,initial,13,0.03217821782178218,144.2393887497
Artibeus jamaicensis,initial,13,0.19708029197080293,144.2393887497
Artibeus lituratus,initial,16,0.039603960396039604,144.2393903489
Artibeus lituratus,initial,16,0.24617737003058104,144.2393903489
Artibeus planirostris,initial,1,0.0024875621890547263,144.2393901889
Artibeus planirostris,initial,1,0.03376205787781351,144.2393901889
Arvicanthis niloticus,initial,6,0.014705882352941176,136.83150491235
Arvicanthis niloticus,initial,6,0.24807395993836673,136.83150491235
Arvicola amphibius,initial,2,0.004975124378109453,136.83150716798
Arvicola amphibius,initial,2,0.024193548387096774,136.83150716798
Arvicola scherman,initial,2,0.004975124378109453,136.83150716798
Arvicola scherman,initial,2,0.10323574730354391,136.83150716798
Atelerix albiventris,initial,6,0.014925373134328358,144.2394033632
Atelerix albiventris,initial,6,0.22635658914728682,144.2394033632
Ateles fusciceps,initial,1,0.0024875621890547263,59.6787281886
Ateles fusciceps,initial,1,0.017741935483870968,59.6787281886
Ateles geoffroyi,initial,1,0.0024752475247524753,59.6787281886
Ateles geoffroyi,initial,1,0.06070287539936102,59.6787281886
Ateles paniscus,initial,3,0.007425742574257425,59.6787281885
Ateles paniscus,initial,3,0.11446740858505565,59.6787281885
Atherurus africanus,initial,1,0.0024875621890547263,136.8315105835
Atherurus africanus,initial,1,0.03536977491961415,136.8315105835
Atilax paludinosus,initial,1,0.0024813895781637717,144.2394209811
Atilax paludinosus,initial,1,0.049679487179487176,144.2394209811
Axis axis,initial,1,0.0024449877750611247,144.2393962843
Axis axis,initial,1,0.09882005899705015,144.2393962843
Babyrousa babyrussa,initial,1,0.0024813895781637717,144.2393977041
Babyrousa babyrussa,initial,1,0.12401883830455258,144.2393977041
Baiomys taylori,initial,3,0.007444168734491315,136.8315113649
Baiomys taylori,initial,3,0.1282051282051282,136.8315113649
Balaena mysticetus,initial,1,0.0024875621890547263,144.2393983274
Balaena mysticetus,initial,1,0.017741935483870968,144.2393983274
Balaenoptera acutorostrata,initial,1,0.0024813895781637717,144.239397273
Balaenoptera acutorostrata,initial,1,0.07923930269413629,144.239397273
Balaenoptera borealis,initial,1,0.0024875621890547263,144.23939822854
Balaenoptera borealis,initial,1,0.017741935483870968,144.23939822854
Balaenoptera physalus,initial,1,0.0024813895781637717,144.23939819624
Balaenoptera physalus,initial,1,0.035256410256410256,144.23939819624
Bandicota bengalensis,initial,2,0.004975124378109453,136.8315026068
Bandicota bengalensis,initial,2,0.11483253588516747,136.8315026068
Bandicota indica,initial,4,0.009876543209876543,136.83150432692
Bandicota indica,initial,4,0.13957055214723926,136.83150432692
Bandicota savilei,initial,2,0.004975124378109453,136.83150251925
Bandicota savilei,initial,2,0.035483870967741936,136.83150251925
Barbastella barbastellus,initial,2,0.004975124378109453,144.2394218182
Barbastella barbastellus,initial,2,0.09379968203497616,144.2394218182
Bassaricyon gabbii,initial,1,0.0024875621890547263,144.2394203928
Bassaricyon gabbii,initial,1,0.06070287539936102,144.2394203928
Bassariscus astutus,initial,1,0.0024813895781637717,144.2394189192
Bassariscus astutus,initial,1,0.04777070063694268,144.2394189192
Bettongia gaimardi,initial,1,0.0024875621890547263,324.15762319
Bettongia gaimardi,initial,1,0.05627009646302251,324.15762319
Bibimys chacoensis,initial,1,0.0024875621890547263,136.8315081726
Bibimys chacoensis,initial,1,0.00967741935483871,136.8315081726
Bison bison,initial,8,0.019417475728155338,144.2393987557
Bison bison,initial,8,0.22624434389140272,144.2393987557
Bison bonasus,initial,1,0.0024449877750611247,144.2393985581
Bison bonasus,initial,1,0.08868501529051988,144.2393985581
Blastocerus dichotomus,initial,2,0.004962779156327543,144.2393957245
Blastocerus dichotomus,initial,2,0.0703125,144.2393957245
Bos frontalis,initial,2,0.004914004914004914,144.2393985576
Bos frontalis,initial,2,0.11403508771929824,144.2393985576
Bos grunniens,initial,3,0.007263922518159807,144.239398756
Bos grunniens,initial,3,0.16467065868263472,144.239398756
Bos mutus,initial,1,0.0024691358024691358,144.239398756
Bos mutus,initial,1,0.05172413793103448,144.239398756
Bos taurus,initial,74,0.15778251599147122,144.23939852457
Bos taurus,initial,74,0.3551020408163265,144.23939852457
Bos taurus indicus,initial,1,0.0024813895781637717,
Bos taurus indicus,initial,1,0.028481012658227847,
Bos taurus primigenius,initial,1,0.0024875621890547263,
Bos taurus primigenius,initial,1,0.03376205787781351,
Boselaphus tragocamelus,initial,2,0.0049382716049382715,144.2393982609
Boselaphus tragocamelus,initial,2,0.0873634945397816,144.2393982609
Brachyteles arachnoides,initial,1,0.0024875621890547263,59.6787267726
Brachyteles arachnoides,initial,1,0.00644122383252818,59.6787267726
Bradypus tridactylus,initial,5,0.012437810945273632,151.4569770879
Bradypus tridactylus,initial,5,0.1271860095389507,151.4569770879
Bradypus variegatus,initial,4,0.009950248756218905,151.4569770879
Bradypus variegatus,initial,4,0.151033386327504,151.4569770879
Bubalus bubalis,initial,20,0.04739336492890995,
Bubalus bubalis,initial,20,0.3060941828254848,
Budorcas taxicolor,initial,1,0.0024875621890547263,144.23939826171
Budorcas taxicolor,initial,1,0.03987240829346093,144.23939826171
Cabassous centralis,initial,1,0.0024875621890547263,151.45697255
Cabassous centralis,initial,1,0.06070287539936102,151.45697255
Cacajao calvus,initial,1,0.0024875621890547263,59.678725356
Cacajao calvus,initial,1,0.0688,59.678725356
Cacajao melanocephalus,initial,1,0.0024875621890547263,59.6787253565
Cacajao melanocephalus,initial,1,0.0688,59.6787253565
Callimico goeldii,initial,1,0.0024875621890547263,59.6787260632
Callimico goeldii,initial,1,0.04807692307692308,59.6787260632
Callithrix geoffroyi,initial,2,0.004975124378109453,59.6787264172
Callithrix geoffroyi,initial,2,0.10426540284360189,59.6787264172
Callithrix jacchus,initial,13,0.03209876543209877,59.6787264172
Callithrix jacchus,initial,13,0.2555720653789004,59.6787264172
Callithrix penicillata,initial,3,0.007462686567164179,59.6787265946
Callithrix penicillata,initial,3,0.0832,59.6787265946
Callorhinus ursinus,initial,3,0.007425742574257425,144.239419514
Callorhinus ursinus,initial,3,0.12558869701726844,144.239419514
Callospermophilus lateralis,initial,5,0.012437810945273632,136.8314983167
Callospermophilus lateralis,initial,5,0.19589257503949448,136.8314983167
Calomys callidus,initial,1,0.0024875621890547263,136.8315090307
Calomys callidus,initial,1,0.0016129032258064516,136.8315090307
Calomys callosus,initial,4,0.009925558312655087,136.8315094001
Calomys callosus,initial,4,0.06280193236714976,136.8315094001
Calomys laucha,initial,2,0.004975124378109453,136.8315086626
Calomys laucha,initial,2,0.0032258064516129032,136.8315086626
Calomys musculinus,initial,2,0.004962779156327543,136.8315090307
Calomys musculinus,initial,2,0.0832,136.8315090307
Calomys tener,initial,1,0.0024875621890547263,136.8315086636
Calomys tener,initial,1,0.00967741935483871,136.8315086636
Caluromys derbianus,initial,2,0.004975124378109453,324.1576051752
Caluromys derbianus,initial,2,0.11146496815286625,324.1576051752
Caluromys philander,initial,5,0.01240694789081886,324.157602602
Caluromys philander,initial,5,0.15912636505460218,324.157602602
Camelus bactrianus,initial,6,0.01485148514851485,144.2393824529
Camelus bactrianus,initial,6,0.19538461538461538,144.2393824529
Camelus dromedarius,initial,18,0.043373493975903614,144.239382453
Camelus dromedarius,initial,18,0.30101302460202606,144.239382453
Canis adustus,initial,3,0.007389162561576354,144.239419665127
Canis adustus,initial,3,0.09722222222222222,144.239419665127
Canis aureus,initial,3,0.007425742574257425,144.239419576927
Canis aureus,initial,3,0.08359133126934984,144.239419576927
Canis latrans,initial,11,0.02702702702702703,144.239419547327
Canis latrans,initial,11,0.2146118721461187,144.239419547327
Canis lupus,initial,15,0.03640776699029126,144.239419871627
Canis lupus,initial,15,0.2654494382022472,144.239419871627
Canis lupus familiaris,initial,34,0.0819277108433735,
Canis lupus familiaris,initial,34,0.4152202937249666,
Canis mesomelas,initial,3,0.007371007371007371,144.239420549327
Canis mesomelas,initial,3,0.10291858678955453,144.239420549327
Canis simensis,initial,2,0.0049504950495049506,144.239418368327
Canis simensis,initial,2,0.06761006289308176,144.239418368327
Capra aegagrus,initial,1,0.0024752475247524753,144.23939852592
Capra aegagrus,initial,1,0.04552590266875981,144.23939852592
Capra caucasica,initial,1,0.0024875621890547263,144.23939826231
Capra caucasica,initial,1,0.03987240829346093,144.23939826231
Capra hircus,initial,41,0.09490740740740741,144.23939852592
Capra hircus,initial,41,0.29004329004329005,144.23939852592
Capreolus capreolus,initial,10,0.023809523809523808,144.239396285
Capreolus capreolus,initial,10,0.2136627906976744,144.239396285
Capricornis crispus,initial,2,0.004962779156327543,144.23939826171
Capricornis crispus,initial,2,0.0671875,144.23939826171
Caracal caracal,initial,1,0.002457002457002457,144.2394226629
Caracal caracal,initial,1,0.08490566037735849,144.2394226629
Carollia brevicauda,initial,3,0.007462686567164179,144.2393899991
Carollia brevicauda,initial,3,0.12577639751552794,144.2393899991
Carollia perspicillata,initial,14,0.034739454094292806,144.2393899991
Carollia perspicillata,initial,14,0.20980091883614088,144.2393899991
Carollia subrufa,initial,1,0.0024875621890547263,144.23938968
Carollia subrufa,initial,1,0.06763285024154589,144.23938968
Castor canadensis,initial,2,0.004962779156327543,136.831520235
