virus,host
Acara orthobunyavirus,Myodes glareolus
Acara orthobunyavirus,Myodes rufocanus
Acara orthobunyavirus,Myotis nigricans
Acara orthobunyavirus,Myotis ricketti
Acara orthobunyavirus,Natalus tumidirostris
Acara orthobunyavirus,Nectomys squamipes
Acara orthobunyavirus,Neofelis nebulosa
Acara orthobunyavirus,Neotoma mexicana
Acara orthobunyavirus,Oligoryzomys nigripes
Acara orthobunyavirus,Oryzomys palustris
Acara orthobunyavirus,Panthera leo
Acara orthobunyavirus,Panthera tigris
Acara orthobunyavirus,Peromyscus gossypinus
Acara orthobunyavirus,Peromyscus maniculatus
Acara orthobunyavirus,Philander opossum
Acara orthobunyavirus,Phyllostomus discolor
Acara orthobunyavirus,Phyllostomus hastatus
Acara orthobunyavirus,Platyrrhinus helleri
Acara orthobunyavirus,Proechimys guyannensis
Acara orthobunyavirus,Proechimys semispinosus
Acara orthobunyavirus,Pteronotus davyi
Acara orthobunyavirus,Pteronotus parnellii
Acara orthobunyavirus,Rattus exulans
Acara orthobunyavirus,Rattus nitidus
Acara orthobunyavirus,Rattus norvegicus
Acara orthobunyavirus,Rattus rattus
Acara orthobunyavirus,Rattus tanezumi
Acara orthobunyavirus,Reithrodontomys megalotis
Acara orthobunyavirus,Rhinolophus affinis
Acara orthobunyavirus,Rhinolophus ferrumequinum
Acara orthobunyavirus,Rhinolophus pusillus
Acara orthobunyavirus,Rousettus aegyptiacus
Acara orthobunyavirus,Rousettus leschenaultii
Acara orthobunyavirus,Sapajus apella
Acara orthobunyavirus,Sciurus carolinensis
Acara orthobunyavirus,Sciurus vulgaris
Acara orthobunyavirus,Scotophilus kuhlii
Acara orthobunyavirus,Semnopithecus entellus
Acara orthobunyavirus,Sigmodon hispidus
Acara orthobunyavirus,Sturnira lilium
Acara orthobunyavirus,Suncus murinus
Acara orthobunyavirus,Sus scrofa
Acara orthobunyavirus,Tadarida brasiliensis
Acara orthobunyavirus,Tapirus terrestris
Acara orthobunyavirus,Tatera indica
Acara orthobunyavirus,Tscherskia triton
Acara orthobunyavirus,Zygodontomys brevicauda
Adelaide River ephemerovirus,Bos taurus
Adelaide River ephemerovirus,Bubalus bubalis
Adelaide River ephemerovirus,Camelus dromedarius
Adelaide River ephemerovirus,Canis lupus familiaris
Adelaide River ephemerovirus,Capra hircus
Adelaide River ephemerovirus,Capreolus capreolus
Adelaide River ephemerovirus,Cervus elaphus
Adelaide River ephemerovirus,Didelphis marsupialis
Adelaide River ephemerovirus,Equus asinus
Adelaide River ephemerovirus,Equus caballus
Adelaide River ephemerovirus,Felis catus
Adelaide River ephemerovirus,Nectomys squamipes
Adelaide River ephemerovirus,Ovis aries
Adelaide River ephemerovirus,Philander opossum
Adelaide River ephemerovirus,Rattus rattus
Adelaide River ephemerovirus,Sapajus apella
Adelaide River ephemerovirus,Sus scrofa
Adelaide River ephemerovirus,Vicugna pacos
Adeno-associated dependoparvovirus A,Acinonyx jubatus
Adeno-associated dependoparvovirus A,Acomys cahirinus
Adeno-associated dependoparvovirus A,Aethomys kaiseri
Adeno-associated dependoparvovirus A,Allenopithecus nigroviridis
Adeno-associated dependoparvovirus A,Allochrocebus lhoesti
Adeno-associated dependoparvovirus A,Allochrocebus solatus
Adeno-associated dependoparvovirus A,Alouatta belzebul
Adeno-associated dependoparvovirus A,Alouatta caraya
Adeno-associated dependoparvovirus A,Alouatta guariba
Adeno-associated dependoparvovirus A,Alouatta seniculus
Adeno-associated dependoparvovirus A,Aotus trivirgatus
Adeno-associated dependoparvovirus A,Arctocephalus australis
Adeno-associated dependoparvovirus A,Arvicanthis niloticus
Adeno-associated dependoparvovirus A,Atelerix albiventris
