virus,host
Equid alphaherpesvirus 8,Canis latrans
Equid alphaherpesvirus 8,Canis lupus familiaris
Equid alphaherpesvirus 8,Capra hircus
Equid alphaherpesvirus 8,Ceratotherium simum
Equid alphaherpesvirus 8,Choeropsis liberiensis
Equid alphaherpesvirus 8,Choloepus hoffmanni
Equid alphaherpesvirus 8,Colobus guereza
Equid alphaherpesvirus 8,Damaliscus pygargus
Equid alphaherpesvirus 8,Dasyprocta punctata
Equid alphaherpesvirus 8,Dasypus novemcinctus
Equid alphaherpesvirus 8,Dermanura phaeotis
Equid alphaherpesvirus 8,Diceros bicornis
Equid alphaherpesvirus 8,Didelphis virginiana
Equid alphaherpesvirus 8,Dipodomys merriami
Equid alphaherpesvirus 8,Eidolon helvum
Equid alphaherpesvirus 8,Elephas maximus
Equid alphaherpesvirus 8,Epomops franqueti
Equid alphaherpesvirus 8,Eptesicus fuscus
Equid alphaherpesvirus 8,Equus asinus
Equid alphaherpesvirus 8,Equus caballus
Equid alphaherpesvirus 8,Equus grevyi
Equid alphaherpesvirus 8,Equus hemionus
Equid alphaherpesvirus 8,Equus kiang
Equid alphaherpesvirus 8,Equus przewalskii
Equid alphaherpesvirus 8,Equus quagga burchellii
Equid alphaherpesvirus 8,Equus zebra
Equid alphaherpesvirus 8,Erethizon dorsatum
Equid alphaherpesvirus 8,Eudorcas thomsonii
Equid alphaherpesvirus 8,Gerbilliscus brantsii
Equid alphaherpesvirus 8,Gerbilliscus leucogaster
Equid alphaherpesvirus 8,Giraffa camelopardalis
Equid alphaherpesvirus 8,Glauconycteris argentata
Equid alphaherpesvirus 8,Glossophaga soricina
Equid alphaherpesvirus 8,Hemiechinus auritus
Equid alphaherpesvirus 8,Hipposideros abae
Equid alphaherpesvirus 8,Hippotragus niger
Equid alphaherpesvirus 8,Homo sapiens
Equid alphaherpesvirus 8,Hydromys chrysogaster
Equid alphaherpesvirus 8,Hystrix africaeaustralis
Equid alphaherpesvirus 8,Lama glama
Equid alphaherpesvirus 8,Lemur catta
Equid alphaherpesvirus 8,Lepus americanus
Equid alphaherpesvirus 8,Lepus californicus
Equid alphaherpesvirus 8,Lepus capensis
Equid alphaherpesvirus 8,Lepus europaeus
Equid alphaherpesvirus 8,Lepus saxatilis
Equid alphaherpesvirus 8,Lonchophylla robusta
Equid alphaherpesvirus 8,Lophostoma silvicolum
Equid alphaherpesvirus 8,Loxodonta africana
Equid alphaherpesvirus 8,Lycaon pictus
Equid alphaherpesvirus 8,Macaca nemestrina
Equid alphaherpesvirus 8,Macaca sylvanus
Equid alphaherpesvirus 8,Macropus agilis
Equid alphaherpesvirus 8,Macropus fuliginosus
Equid alphaherpesvirus 8,Macropus giganteus
Equid alphaherpesvirus 8,Macropus rufus
Equid alphaherpesvirus 8,Marmota flaviventris
Equid alphaherpesvirus 8,Marmota monax
Equid alphaherpesvirus 8,Mephitis mephitis
Equid alphaherpesvirus 8,Meriones crassus
Equid alphaherpesvirus 8,Meriones hurrianae
Equid alphaherpesvirus 8,Micaelamys namaquensis
Equid alphaherpesvirus 8,Microtus californicus
Equid alphaherpesvirus 8,Myocastor coypus
Equid alphaherpesvirus 8,Myotis blythii
Equid alphaherpesvirus 8,Myotis lucifugus
Equid alphaherpesvirus 8,Myotis septentrionalis
Equid alphaherpesvirus 8,Myrmecophaga tridactyla
Equid alphaherpesvirus 8,Neotamias amoenus
Equid alphaherpesvirus 8,Neotoma fuscipes
Equid alphaherpesvirus 8,Nyctalus noctula
Equid alphaherpesvirus 8,Oligoryzomys nigripes
Equid alphaherpesvirus 8,Orcinus orca
Equid alphaherpesvirus 8,Oryctolagus cuniculus
Equid alphaherpesvirus 8,Otospermophilus beecheyi
Equid alphaherpesvirus 8,Ovis aries
Equid alphaherpesvirus 8,Panthera leo
Equid alphaherpesvirus 8,Pedetes capensis
Equid alphaherpesvirus 8,Peromyscus gossypinus
Equid alphaherpesvirus 8,Peromyscus leucopus
Equid alphaherpesvirus 8,Peromyscus maniculatus
Equid alphaherpesvirus 8,Peromyscus truei
Equid alphaherpesvirus 8,Phacochoerus aethiopicus
Equid alphaherpesvirus 8,Potos flavus
Equid alphaherpesvirus 8,Procyon lotor
Equid alphaherpesvirus 8,Pteropus alecto
Equid alphaherpesvirus 8,Pteropus hypomelanus
Equid alphaherpesvirus 8,Pteropus poliocephalus
Equid alphaherpesvirus 8,Pteropus rufus
Equid alphaherpesvirus 8,Pteropus scapulatus
Equid alphaherpesvirus 8,Rattus rattus
Equid alphaherpesvirus 8,Redunca fulvorufula
Equid alphaherpesvirus 8,Rhabdomys pumilio
Equid alphaherpesvirus 8,Rhinoceros unicornis
Equid alphaherpesvirus 8,Saimiri sciureus
Equid alphaherpesvirus 8,Sciurus carolinensis
Equid alphaherpesvirus 8,Sciurus griseus
Equid alphaherpesvirus 8,Sciurus niger
Equid alphaherpesvirus 8,Sigmodon hispidus
Equid alphaherpesvirus 8,Suricata suricatta
Equid alphaherpesvirus 8,Sylvilagus audubonii
Equid alphaherpesvirus 8,Sylvilagus nuttallii
Equid alphaherpesvirus 8,Tamandua tetradactyla
Equid alphaherpesvirus 8,Tamias striatus
Equid alphaherpesvirus 8,Tamiasciurus hudsonicus
Equid alphaherpesvirus 8,Tapirus terrestris
Equid alphaherpesvirus 8,Tatera indica
Equid alphaherpesvirus 8,Tragelaphus angasii
Equid alphaherpesvirus 8,Tragelaphus oryx
Equid alphaherpesvirus 8,Urocitellus columbianus
Equid alphaherpesvirus 8,Urocitellus richardsonii
Equid alphaherpesvirus 8,Urocyon cinereoargenteus
Equid alphaherpesvirus 8,Ursus americanus
Equid alphaherpesvirus 8,Ursus maritimus
Equid alphaherpesvirus 8,Vampyrodes caraccioli
Equid alphaherpesvirus 8,Varecia variegata
Equid alphaherpesvirus 8,Vulpes macrotis
Equid alphaherpesvirus 8,Vulpes velox
Equid alphaherpesvirus 8,Vulpes vulpes
Equid alphaherpesvirus 8,Xerus inauris
Equid alphaherpesvirus 9,Acinonyx jubatus
Equid alphaherpesvirus 9,Acomys cahirinus
Equid alphaherpesvirus 9,Aepyceros melampus
Equid alphaherpesvirus 9,Alcelaphus buselaphus
Equid alphaherpesvirus 9,Alouatta caraya
Equid alphaherpesvirus 9,Alouatta pigra
Equid alphaherpesvirus 9,Ammospermophilus nelsoni
Equid alphaherpesvirus 9,Antidorcas marsupialis
Equid alphaherpesvirus 9,Antilope cervicapra
Equid alphaherpesvirus 9,Aotus trivirgatus
Equid alphaherpesvirus 9,Arvicanthis niloticus
Equid alphaherpesvirus 9,Atelerix albiventris
Equid alphaherpesvirus 9,Bos taurus
Equid alphaherpesvirus 9,Bradypus variegatus
Equid alphaherpesvirus 9,Bubalus bubalis
Equid alphaherpesvirus 9,Callithrix jacchus
Equid alphaherpesvirus 9,Callospermophilus lateralis
Equid alphaherpesvirus 9,Camelus bactrianus
Equid alphaherpesvirus 9,Camelus dromedarius
Equid alphaherpesvirus 9,Canis latrans
Equid alphaherpesvirus 9,Canis lupus
Equid alphaherpesvirus 9,Canis lupus familiaris
Equid alphaherpesvirus 9,Canis mesomelas
Equid alphaherpesvirus 9,Ceratotherium simum
Equid alphaherpesvirus 9,Cercopithecus neglectus
Equid alphaherpesvirus 9,Choeropsis liberiensis
Equid alphaherpesvirus 9,Choloepus didactylus
Equid alphaherpesvirus 9,Choloepus hoffmanni
Equid alphaherpesvirus 9,Colobus guereza
Equid alphaherpesvirus 9,Connochaetes gnou
Equid alphaherpesvirus 9,Connochaetes taurinus
Equid alphaherpesvirus 9,Damaliscus lunatus
Equid alphaherpesvirus 9,Damaliscus pygargus
Equid alphaherpesvirus 9,Dasyprocta punctata
Equid alphaherpesvirus 9,Dasypus novemcinctus
Equid alphaherpesvirus 9,Dendrolagus goodfellowi
Equid alphaherpesvirus 9,Diceros bicornis
Equid alphaherpesvirus 9,Didelphis virginiana
Equid alphaherpesvirus 9,Eidolon helvum
Equid alphaherpesvirus 9,Elephas maximus
Equid alphaherpesvirus 9,Epomops franqueti
Equid alphaherpesvirus 9,Eptesicus fuscus
Equid alphaherpesvirus 9,Equus asinus
Equid alphaherpesvirus 9,Equus caballus
Equid alphaherpesvirus 9,Equus grevyi
Equid alphaherpesvirus 9,Equus hemionus
Equid alphaherpesvirus 9,Equus kiang
Equid alphaherpesvirus 9,Equus przewalskii
Equid alphaherpesvirus 9,Equus quagga
Equid alphaherpesvirus 9,Equus quagga burchellii
Equid alphaherpesvirus 9,Equus zebra
Equid alphaherpesvirus 9,Erethizon dorsatum
Equid alphaherpesvirus 9,Eudorcas thomsonii
Equid alphaherpesvirus 9,Eulemur albifrons
Equid alphaherpesvirus 9,Eulemur macaco
Equid alphaherpesvirus 9,Genetta maculata
Equid alphaherpesvirus 9,Gerbilliscus brantsii
Equid alphaherpesvirus 9,Gerbilliscus leucogaster
Equid alphaherpesvirus 9,Giraffa camelopardalis
Equid alphaherpesvirus 9,Glauconycteris argentata
Equid alphaherpesvirus 9,Hemiechinus auritus
Equid alphaherpesvirus 9,Hippopotamus amphibius
Equid alphaherpesvirus 9,Hipposideros abae
Equid alphaherpesvirus 9,Hipposideros caffer
Equid alphaherpesvirus 9,Hippotragus niger
Equid alphaherpesvirus 9,Hydromys chrysogaster
Equid alphaherpesvirus 9,Hystrix africaeaustralis
Equid alphaherpesvirus 9,Ichneumia albicauda
Equid alphaherpesvirus 9,Kobus ellipsiprymnus
Equid alphaherpesvirus 9,Kobus kob
Equid alphaherpesvirus 9,Kobus leche
Equid alphaherpesvirus 9,Lama glama
Equid alphaherpesvirus 9,Lemur catta
Equid alphaherpesvirus 9,Leontopithecus rosalia
Equid alphaherpesvirus 9,Lepus americanus
Equid alphaherpesvirus 9,Lepus californicus
Equid alphaherpesvirus 9,Lepus capensis
Equid alphaherpesvirus 9,Lepus europaeus
Equid alphaherpesvirus 9,Lepus saxatilis
Equid alphaherpesvirus 9,Loxodonta africana
Equid alphaherpesvirus 9,Lycaon pictus
Equid alphaherpesvirus 9,Macaca nemestrina
Equid alphaherpesvirus 9,Macaca sylvanus
Equid alphaherpesvirus 9,Macropus agilis
Equid alphaherpesvirus 9,Macropus fuliginosus
Equid alphaherpesvirus 9,Macropus giganteus
Equid alphaherpesvirus 9,Macropus rufus
Equid alphaherpesvirus 9,Marmota flaviventris
Equid alphaherpesvirus 9,Marmota monax
Equid alphaherpesvirus 9,Mastomys coucha
Equid alphaherpesvirus 9,Mastomys erythroleucus
Equid alphaherpesvirus 9,Mastomys huberti
Equid alphaherpesvirus 9,Mastomys natalensis
Equid alphaherpesvirus 9,Mephitis mephitis
Equid alphaherpesvirus 9,Meriones crassus
Equid alphaherpesvirus 9,Meriones hurrianae
Equid alphaherpesvirus 9,Micaelamys namaquensis
Equid alphaherpesvirus 9,Micropteropus pusillus
Equid alphaherpesvirus 9,Microtus arvalis
Equid alphaherpesvirus 9,Microtus californicus
Equid alphaherpesvirus 9,Miniopterus schreibersii
Equid alphaherpesvirus 9,Mus booduga
Equid alphaherpesvirus 9,Mustela frenata
Equid alphaherpesvirus 9,Myocastor coypus
Equid alphaherpesvirus 9,Myotis blythii
Equid alphaherpesvirus 9,Myotis lucifugus
Equid alphaherpesvirus 9,Myrmecophaga tridactyla
Equid alphaherpesvirus 9,Nanger granti
Equid alphaherpesvirus 9,Napaeozapus insignis
Equid alphaherpesvirus 9,Neotamias amoenus
Equid alphaherpesvirus 9,Neotamias minimus
Equid alphaherpesvirus 9,Neotoma fuscipes
Equid alphaherpesvirus 9,Nyctalus noctula
Equid alphaherpesvirus 9,Okapia johnstoni
Equid alphaherpesvirus 9,Oligoryzomys nigripes
Equid alphaherpesvirus 9,Orcinus orca
Equid alphaherpesvirus 9,Oryctolagus cuniculus
Equid alphaherpesvirus 9,Oryx gazella
Equid alphaherpesvirus 9,Oryx leucoryx
Equid alphaherpesvirus 9,Otospermophilus beecheyi
Equid alphaherpesvirus 9,Ourebia ourebi
Equid alphaherpesvirus 9,Pan troglodytes
Equid alphaherpesvirus 9,Panthera leo
Equid alphaherpesvirus 9,Panthera tigris
Equid alphaherpesvirus 9,Panthera uncia
Equid alphaherpesvirus 9,Pedetes capensis
Equid alphaherpesvirus 9,Peromyscus leucopus
Equid alphaherpesvirus 9,Peromyscus maniculatus
Equid alphaherpesvirus 9,Peromyscus truei
Equid alphaherpesvirus 9,Petaurus breviceps
Equid alphaherpesvirus 9,Phacochoerus aethiopicus
Equid alphaherpesvirus 9,Potamochoerus porcus
Equid alphaherpesvirus 9,Potos flavus
Equid alphaherpesvirus 9,Procyon lotor
Equid alphaherpesvirus 9,Pteropus alecto
Equid alphaherpesvirus 9,Pteropus conspicillatus
Equid alphaherpesvirus 9,Pteropus hypomelanus
Equid alphaherpesvirus 9,Pteropus poliocephalus
Equid alphaherpesvirus 9,Pteropus rufus
Equid alphaherpesvirus 9,Pteropus scapulatus
Equid alphaherpesvirus 9,Rattus norvegicus
Equid alphaherpesvirus 9,Rattus rattus
Equid alphaherpesvirus 9,Redunca arundinum
Equid alphaherpesvirus 9,Redunca fulvorufula
Equid alphaherpesvirus 9,Rhabdomys pumilio
Equid alphaherpesvirus 9,Rhinoceros unicornis
Equid alphaherpesvirus 9,Saiga tatarica
Equid alphaherpesvirus 9,Saimiri sciureus
Equid alphaherpesvirus 9,Sciurus carolinensis
Equid alphaherpesvirus 9,Sciurus griseus
Equid alphaherpesvirus 9,Sigmodon hispidus
Equid alphaherpesvirus 9,Speothos venaticus
Equid alphaherpesvirus 9,Suricata suricatta
Equid alphaherpesvirus 9,Sylvicapra grimmia
Equid alphaherpesvirus 9,Sylvilagus audubonii
Equid alphaherpesvirus 9,Sylvilagus nuttallii
Equid alphaherpesvirus 9,Symphalangus syndactylus
Equid alphaherpesvirus 9,Syncerus caffer
Equid alphaherpesvirus 9,Tamandua tetradactyla
Equid alphaherpesvirus 9,Tamias striatus
Equid alphaherpesvirus 9,Tamiasciurus hudsonicus
Equid alphaherpesvirus 9,Tapirus terrestris
Equid alphaherpesvirus 9,Tatera indica
Equid alphaherpesvirus 9,Tragelaphus angasii
Equid alphaherpesvirus 9,Tragelaphus oryx
Equid alphaherpesvirus 9,Tragelaphus scriptus
Equid alphaherpesvirus 9,Tragelaphus strepsiceros
Equid alphaherpesvirus 9,Urocitellus columbianus
Equid alphaherpesvirus 9,Urocitellus richardsonii
Equid alphaherpesvirus 9,Ursus americanus
Equid alphaherpesvirus 9,Ursus maritimus
Equid alphaherpesvirus 9,Varecia variegata
Equid alphaherpesvirus 9,Vicugna pacos
Equid alphaherpesvirus 9,Vulpes vulpes
Equid alphaherpesvirus 9,Xerus inauris
Equid gammaherpesvirus 2,Acinonyx jubatus
Equid gammaherpesvirus 2,Aepyceros melampus
Equid gammaherpesvirus 2,Alouatta belzebul
Equid gammaherpesvirus 2,Alouatta caraya
Equid gammaherpesvirus 2,Alouatta pigra
Equid gammaherpesvirus 2,Ammospermophilus nelsoni
Equid gammaherpesvirus 2,Antidorcas marsupialis
Equid gammaherpesvirus 2,Aotus trivirgatus
Equid gammaherpesvirus 2,Arvicanthis niloticus
Equid gammaherpesvirus 2,Atelerix albiventris
Equid gammaherpesvirus 2,Baiomys taylori
Equid gammaherpesvirus 2,Bos taurus
Equid gammaherpesvirus 2,Bradypus tridactylus
Equid gammaherpesvirus 2,Bradypus variegatus
Equid gammaherpesvirus 2,Bubalus bubalis
Equid gammaherpesvirus 2,Callithrix geoffroyi
Equid gammaherpesvirus 2,Callithrix jacchus
Equid gammaherpesvirus 2,Callospermophilus lateralis
Equid gammaherpesvirus 2,Camelus bactrianus
Equid gammaherpesvirus 2,Camelus dromedarius
Equid gammaherpesvirus 2,Canis latrans
Equid gammaherpesvirus 2,Canis lupus
Equid gammaherpesvirus 2,Canis lupus familiaris
Equid gammaherpesvirus 2,Canis mesomelas
Equid gammaherpesvirus 2,Capra hircus
Equid gammaherpesvirus 2,Ceratotherium simum
Equid gammaherpesvirus 2,Cercopithecus neglectus
Equid gammaherpesvirus 2,Choeropsis liberiensis
Equid gammaherpesvirus 2,Choloepus didactylus
Equid gammaherpesvirus 2,Choloepus hoffmanni
Equid gammaherpesvirus 2,Colobus guereza
Equid gammaherpesvirus 2,Damaliscus pygargus
Equid gammaherpesvirus 2,Dasyprocta punctata
Equid gammaherpesvirus 2,Dasypus novemcinctus
Equid gammaherpesvirus 2,Dermanura phaeotis
Equid gammaherpesvirus 2,Diceros bicornis
Equid gammaherpesvirus 2,Didelphis virginiana
Equid gammaherpesvirus 2,Dipodomys merriami
Equid gammaherpesvirus 2,Eidolon helvum
Equid gammaherpesvirus 2,Elephas maximus
Equid gammaherpesvirus 2,Epomops franqueti
Equid gammaherpesvirus 2,Eptesicus fuscus
Equid gammaherpesvirus 2,Equus asinus
Equid gammaherpesvirus 2,Equus caballus
Equid gammaherpesvirus 2,Equus grevyi
Equid gammaherpesvirus 2,Equus hemionus
Equid gammaherpesvirus 2,Equus kiang
Equid gammaherpesvirus 2,Equus przewalskii
Equid gammaherpesvirus 2,Equus quagga
Equid gammaherpesvirus 2,Equus quagga burchellii
Equid gammaherpesvirus 2,Equus zebra
Equid gammaherpesvirus 2,Erethizon dorsatum
Equid gammaherpesvirus 2,Eudorcas thomsonii
Equid gammaherpesvirus 2,Gerbilliscus brantsii
Equid gammaherpesvirus 2,Gerbilliscus leucogaster
Equid gammaherpesvirus 2,Giraffa camelopardalis
Equid gammaherpesvirus 2,Glossophaga soricina
Equid gammaherpesvirus 2,Hemiechinus auritus
Equid gammaherpesvirus 2,Hippopotamus amphibius
Equid gammaherpesvirus 2,Hipposideros abae
Equid gammaherpesvirus 2,Hippotragus niger
Equid gammaherpesvirus 2,Hydromys chrysogaster
Equid gammaherpesvirus 2,Hystrix africaeaustralis
Equid gammaherpesvirus 2,Kobus ellipsiprymnus
Equid gammaherpesvirus 2,Lama glama
Equid gammaherpesvirus 2,Lemur catta
Equid gammaherpesvirus 2,Lepus americanus
Equid gammaherpesvirus 2,Lepus californicus
Equid gammaherpesvirus 2,Lepus capensis
Equid gammaherpesvirus 2,Lepus europaeus
Equid gammaherpesvirus 2,Lepus saxatilis
Equid gammaherpesvirus 2,Lonchophylla robusta
Equid gammaherpesvirus 2,Lophostoma silvicolum
Equid gammaherpesvirus 2,Loxodonta africana
Equid gammaherpesvirus 2,Lycaon pictus
Equid gammaherpesvirus 2,Macaca nemestrina
Equid gammaherpesvirus 2,Macaca sylvanus
Equid gammaherpesvirus 2,Macropus agilis
Equid gammaherpesvirus 2,Macropus fuliginosus
Equid gammaherpesvirus 2,Macropus giganteus
Equid gammaherpesvirus 2,Macropus robustus
Equid gammaherpesvirus 2,Macropus rufogriseus
Equid gammaherpesvirus 2,Macropus rufus
Equid gammaherpesvirus 2,Marmota flaviventris
Equid gammaherpesvirus 2,Marmota monax
Equid gammaherpesvirus 2,Mastomys coucha
Equid gammaherpesvirus 2,Mastomys erythroleucus
Equid gammaherpesvirus 2,Mastomys huberti
Equid gammaherpesvirus 2,Mephitis mephitis
Equid gammaherpesvirus 2,Meriones crassus
Equid gammaherpesvirus 2,Meriones hurrianae
Equid gammaherpesvirus 2,Micaelamys namaquensis
Equid gammaherpesvirus 2,Micropteropus pusillus
Equid gammaherpesvirus 2,Microtus californicus
Equid gammaherpesvirus 2,Miniopterus schreibersii
Equid gammaherpesvirus 2,Mustela frenata
Equid gammaherpesvirus 2,Myocastor coypus
Equid gammaherpesvirus 2,Myotis blythii
Equid gammaherpesvirus 2,Myotis lucifugus
Equid gammaherpesvirus 2,Napaeozapus insignis
Equid gammaherpesvirus 2,Neotamias amoenus
Equid gammaherpesvirus 2,Neotamias minimus
Equid gammaherpesvirus 2,Neotoma fuscipes
Equid gammaherpesvirus 2,Nyctalus noctula
Equid gammaherpesvirus 2,Okapia johnstoni
Equid gammaherpesvirus 2,Oligoryzomys nigripes
Equid gammaherpesvirus 2,Orcinus orca
Equid gammaherpesvirus 2,Oryctolagus cuniculus
Equid gammaherpesvirus 2,Otospermophilus beecheyi
Equid gammaherpesvirus 2,Panthera leo
Equid gammaherpesvirus 2,Panthera uncia
Equid gammaherpesvirus 2,Pedetes capensis
Equid gammaherpesvirus 2,Peromyscus gossypinus
Equid gammaherpesvirus 2,Peromyscus leucopus
Equid gammaherpesvirus 2,Peromyscus maniculatus
Equid gammaherpesvirus 2,Peromyscus truei
Equid gammaherpesvirus 2,Petaurus breviceps
Equid gammaherpesvirus 2,Phacochoerus aethiopicus
Equid gammaherpesvirus 2,Potos flavus
Equid gammaherpesvirus 2,Procyon lotor
Equid gammaherpesvirus 2,Pteropus alecto
Equid gammaherpesvirus 2,Pteropus conspicillatus
Equid gammaherpesvirus 2,Pteropus hypomelanus
Equid gammaherpesvirus 2,Pteropus poliocephalus
Equid gammaherpesvirus 2,Pteropus rufus
Equid gammaherpesvirus 2,Pteropus scapulatus
Equid gammaherpesvirus 2,Rattus rattus
Equid gammaherpesvirus 2,Redunca arundinum
Equid gammaherpesvirus 2,Redunca fulvorufula
Equid gammaherpesvirus 2,Rhabdomys pumilio
Equid gammaherpesvirus 2,Rhinoceros unicornis
Equid gammaherpesvirus 2,Saimiri sciureus
Equid gammaherpesvirus 2,Sciurus carolinensis
Equid gammaherpesvirus 2,Sciurus griseus
Equid gammaherpesvirus 2,Setonix brachyurus
Equid gammaherpesvirus 2,Sigmodon hispidus
Equid gammaherpesvirus 2,Spilogale putorius
Equid gammaherpesvirus 2,Suricata suricatta
Equid gammaherpesvirus 2,Sylvicapra grimmia
Equid gammaherpesvirus 2,Sylvilagus audubonii
Equid gammaherpesvirus 2,Sylvilagus nuttallii
Equid gammaherpesvirus 2,Tamandua tetradactyla
Equid gammaherpesvirus 2,Tamias striatus
Equid gammaherpesvirus 2,Tamiasciurus hudsonicus
Equid gammaherpesvirus 2,Tapirus terrestris
Equid gammaherpesvirus 2,Tatera indica
Equid gammaherpesvirus 2,Tragelaphus angasii
Equid gammaherpesvirus 2,Tragelaphus oryx
Equid gammaherpesvirus 2,Tragelaphus strepsiceros
Equid gammaherpesvirus 2,Trichosurus vulpecula
Equid gammaherpesvirus 2,Urocitellus columbianus
Equid gammaherpesvirus 2,Urocitellus richardsonii
Equid gammaherpesvirus 2,Urocyon cinereoargenteus
Equid gammaherpesvirus 2,Ursus americanus
Equid gammaherpesvirus 2,Ursus maritimus
Equid gammaherpesvirus 2,Vampyrodes caraccioli
Equid gammaherpesvirus 2,Varecia variegata
Equid gammaherpesvirus 2,Vulpes macrotis
Equid gammaherpesvirus 2,Vulpes vulpes
Equid gammaherpesvirus 2,Xerus inauris
Equid gammaherpesvirus 5,Acinonyx jubatus
Equid gammaherpesvirus 5,Acomys cahirinus
Equid gammaherpesvirus 5,Aepyceros melampus
Equid gammaherpesvirus 5,Alouatta belzebul
Equid gammaherpesvirus 5,Alouatta caraya
Equid gammaherpesvirus 5,Alouatta pigra
Equid gammaherpesvirus 5,Ammospermophilus nelsoni
Equid gammaherpesvirus 5,Antidorcas marsupialis
Equid gammaherpesvirus 5,Aotus trivirgatus
Equid gammaherpesvirus 5,Arvicanthis niloticus
Equid gammaherpesvirus 5,Atelerix albiventris
Equid gammaherpesvirus 5,Baiomys taylori
Equid gammaherpesvirus 5,Bos taurus
Equid gammaherpesvirus 5,Bradypus tridactylus
Equid gammaherpesvirus 5,Bradypus variegatus
Equid gammaherpesvirus 5,Bubalus bubalis
Equid gammaherpesvirus 5,Callithrix geoffroyi
Equid gammaherpesvirus 5,Callithrix jacchus
Equid gammaherpesvirus 5,Callospermophilus lateralis
Equid gammaherpesvirus 5,Camelus bactrianus
Equid gammaherpesvirus 5,Camelus dromedarius
Equid gammaherpesvirus 5,Canis latrans
Equid gammaherpesvirus 5,Canis lupus
Equid gammaherpesvirus 5,Canis lupus familiaris
Equid gammaherpesvirus 5,Canis mesomelas
Equid gammaherpesvirus 5,Capra hircus
Equid gammaherpesvirus 5,Ceratotherium simum
Equid gammaherpesvirus 5,Cercopithecus neglectus
Equid gammaherpesvirus 5,Choeropsis liberiensis
Equid gammaherpesvirus 5,Choloepus didactylus
Equid gammaherpesvirus 5,Choloepus hoffmanni
Equid gammaherpesvirus 5,Colobus guereza
Equid gammaherpesvirus 5,Damaliscus pygargus
Equid gammaherpesvirus 5,Dasyprocta punctata
Equid gammaherpesvirus 5,Dasypus novemcinctus
Equid gammaherpesvirus 5,Dermanura phaeotis
Equid gammaherpesvirus 5,Diceros bicornis
Equid gammaherpesvirus 5,Didelphis virginiana
Equid gammaherpesvirus 5,Dipodomys merriami
Equid gammaherpesvirus 5,Eidolon helvum
Equid gammaherpesvirus 5,Elephas maximus
Equid gammaherpesvirus 5,Epomops franqueti
Equid gammaherpesvirus 5,Eptesicus fuscus
Equid gammaherpesvirus 5,Equus asinus
Equid gammaherpesvirus 5,Equus caballus
Equid gammaherpesvirus 5,Equus grevyi
Equid gammaherpesvirus 5,Equus hemionus
Equid gammaherpesvirus 5,Equus kiang
Equid gammaherpesvirus 5,Equus przewalskii
Equid gammaherpesvirus 5,Equus quagga
Equid gammaherpesvirus 5,Equus quagga burchellii
Equid gammaherpesvirus 5,Equus zebra
Equid gammaherpesvirus 5,Erethizon dorsatum
Equid gammaherpesvirus 5,Eudorcas thomsonii
Equid gammaherpesvirus 5,Gerbilliscus brantsii
Equid gammaherpesvirus 5,Gerbilliscus leucogaster
Equid gammaherpesvirus 5,Giraffa camelopardalis
Equid gammaherpesvirus 5,Glauconycteris argentata
Equid gammaherpesvirus 5,Glossophaga soricina
Equid gammaherpesvirus 5,Hemiechinus auritus
Equid gammaherpesvirus 5,Hippopotamus amphibius
Equid gammaherpesvirus 5,Hipposideros abae
Equid gammaherpesvirus 5,Hippotragus niger
Equid gammaherpesvirus 5,Hydromys chrysogaster
Equid gammaherpesvirus 5,Hystrix africaeaustralis
Equid gammaherpesvirus 5,Kobus ellipsiprymnus
Equid gammaherpesvirus 5,Lama glama
Equid gammaherpesvirus 5,Lemur catta
Equid gammaherpesvirus 5,Lepus americanus
Equid gammaherpesvirus 5,Lepus californicus
Equid gammaherpesvirus 5,Lepus capensis
Equid gammaherpesvirus 5,Lepus europaeus
Equid gammaherpesvirus 5,Lepus saxatilis
Equid gammaherpesvirus 5,Lonchophylla robusta
Equid gammaherpesvirus 5,Lophostoma silvicolum
Equid gammaherpesvirus 5,Loxodonta africana
Equid gammaherpesvirus 5,Lycaon pictus
Equid gammaherpesvirus 5,Macaca nemestrina
Equid gammaherpesvirus 5,Macaca sylvanus
Equid gammaherpesvirus 5,Macropus agilis
Equid gammaherpesvirus 5,Macropus fuliginosus
Equid gammaherpesvirus 5,Macropus giganteus
Equid gammaherpesvirus 5,Macropus robustus
Equid gammaherpesvirus 5,Macropus rufogriseus
Equid gammaherpesvirus 5,Macropus rufus
Equid gammaherpesvirus 5,Marmota flaviventris
Equid gammaherpesvirus 5,Marmota monax
Equid gammaherpesvirus 5,Mastomys coucha
Equid gammaherpesvirus 5,Mastomys erythroleucus
Equid gammaherpesvirus 5,Mastomys huberti
Equid gammaherpesvirus 5,Mephitis mephitis
Equid gammaherpesvirus 5,Meriones crassus
Equid gammaherpesvirus 5,Meriones hurrianae
Equid gammaherpesvirus 5,Micaelamys namaquensis
Equid gammaherpesvirus 5,Micropteropus pusillus
Equid gammaherpesvirus 5,Microtus californicus
Equid gammaherpesvirus 5,Miniopterus schreibersii
Equid gammaherpesvirus 5,Mustela frenata
Equid gammaherpesvirus 5,Myocastor coypus
Equid gammaherpesvirus 5,Myotis blythii
Equid gammaherpesvirus 5,Myotis lucifugus
Equid gammaherpesvirus 5,Myrmecophaga tridactyla
Equid gammaherpesvirus 5,Napaeozapus insignis
Equid gammaherpesvirus 5,Neotamias amoenus
