"","factor","taxa","tips","clade","other"
"1",1,"Ziphiidae, Physeteridae, Phocoenidae, Monodontidae, Delphinidae, Eschrichtiidae, Balaenopteridae, Balaenidae",30,18,71
"2",2,"Nycteridae, Emballonuridae, Natalidae, Molossidae, Vespertilionidae",109,43,73
"3",3,"Calomys, Graomys, Phyllotis, Loxodontomys, Abrothrix",11,11,70
"4",4,"Bibimys, Oxymycterus, Necromys, Akodon, Thaptomys",15,16,70
